track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,released_date,cluster
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703,43,263,45,10,826,125.0,B,Major,80.0,89.0,83.0,31.0,0.0,8.0,4.0,2023-07-14,0
LALA,Myke Towers,1,2023,3,23,1474,48,133716286,48,126,58,14,382,92.0,C#,Major,71.0,61.0,74.0,7.0,0.0,10.0,4.0,2023-03-23,0
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,94,207,91,14,949,138.0,F,Major,51.0,32.0,53.0,17.0,0.0,31.0,6.0,2023-06-30,0
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,116,207,125,12,548,170.0,A,Major,55.0,58.0,72.0,11.0,0.0,11.0,15.0,2019-08-23,0
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,84,133,87,15,425,144.0,A,Minor,65.0,23.0,80.0,14.0,63.0,11.0,6.0,2023-05-18,1
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234,67,213,88,17,946,141.0,C#,Major,92.0,66.0,58.0,19.0,0.0,8.0,24.0,2023-06-01,0
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112,34,222,43,13,418,148.0,F,Minor,67.0,83.0,76.0,48.0,0.0,8.0,3.0,2023-03-16,1
Columbia,Quevedo,1,2023,7,7,714,43,58149378,25,89,30,13,194,100.0,F,Major,67.0,26.0,71.0,37.0,0.0,11.0,4.0,2023-07-07,0
fukumean,Gunna,1,2023,5,15,1096,83,95217315,60,210,48,11,953,130.0,C#,Minor,85.0,22.0,62.0,12.0,0.0,28.0,9.0,2023-05-15,1
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067,49,110,66,13,339,170.0,D,Minor,81.0,56.0,48.0,21.0,0.0,8.0,33.0,2023-03-17,1
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438,41,205,54,12,251,83.0,F#,Minor,57.0,56.0,72.0,23.0,0.0,27.0,5.0,2023-04-17,1
Super Shy,NewJeans,1,2023,7,7,422,55,58255150,37,202,21,5,168,150.0,F,Minor,78.0,52.0,82.0,18.0,0.0,15.0,7.0,2023-07-07,1
Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716,300,215,745,58,1021,118.0,Unknown,Major,71.0,65.0,68.0,6.0,0.0,3.0,7.0,2023-01-12,0
Daylight,David Kushner,1,2023,4,14,3528,98,387570742,80,156,182,24,1281,130.0,D,Minor,51.0,32.0,43.0,83.0,0.0,9.0,3.0,2023-04-14,1
As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493,403,198,863,46,0,174.0,F#,Minor,52.0,66.0,73.0,34.0,0.0,31.0,6.0,2022-03-31,1
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654,183,162,161,12,187,89.0,G#,Major,64.0,43.0,73.0,5.0,17.0,16.0,4.0,2022-12-08,0
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686,91,212,78,6,0,120.0,B,Minor,78.0,76.0,59.0,43.0,0.0,34.0,3.0,2023-02-24,1
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,30546883,80,227,95,24,1173,78.0,Unknown,Major,44.0,14.0,9.0,96.0,0.0,10.0,3.0,2023-07-13,0
Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234,43,100,54,14,187,100.0,B,Major,86.0,67.0,66.0,14.0,0.0,12.0,16.0,2023-03-31,0
Like Crazy,Jimin,1,2023,3,24,596,68,363369738,8,104,23,2,29,120.0,G,Major,63.0,36.0,73.0,0.0,0.0,36.0,4.0,2023-03-24,0
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842,11,163,10,4,0,140.0,F,Minor,65.0,87.0,74.0,22.0,0.0,42.0,4.0,2023-06-22,1
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248,73,119,42,1,150,123.0,F#,Major,69.0,82.0,76.0,6.0,0.0,6.0,3.0,2023-07-07,0
I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,110,1297026226,24,98,582,2,73,135.0,Unknown,Minor,48.0,44.0,42.0,12.0,2.0,11.0,3.0,2013-01-01,1
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221,17,152,32,11,139,133.0,F,Minor,85.0,81.0,67.0,26.0,0.0,12.0,5.0,2023-05-31,1
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,115364561,74,182,87,14,1093,99.0,C#,Major,85.0,83.0,68.0,7.0,0.0,36.0,20.0,2023-06-02,0
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654,16,149,10,5,168,130.0,G,Minor,79.0,96.0,86.0,9.0,0.0,9.0,9.0,2023-06-22,1
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,899183384,202,119,318,38,96,107.0,B,Major,80.0,82.0,80.0,43.0,0.0,14.0,4.0,2022-03-25,0
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289,35,109,41,14,211,122.0,F#,Minor,81.0,74.0,71.0,14.0,0.0,56.0,4.0,2023-06-29,1
Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812,52,107,15,1,325,204.0,F#,Major,52.0,52.0,68.0,46.0,0.0,15.0,4.0,2023-01-31,0
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954,0,0,143,38,0,110.0,B,Minor,67.0,78.0,85.0,2.0,0.0,33.0,5.0,2023-05-25,1
Rush,Troye Sivan,1,2023,7,13,864,78,22581161,71,135,50,1,294,126.0,F,Minor,74.0,35.0,84.0,0.0,0.0,11.0,6.0,2023-07-13,1
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266,20,185,13,8,197,168.0,F#,Major,56.0,63.0,87.0,39.0,0.0,11.0,5.0,2023-06-28,0
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510,113,149,245,23,27,98.0,C#,Minor,71.0,17.0,61.0,36.0,0.0,8.0,5.0,2022-12-02,1
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277,242,142,165,9,310,97.0,E,Major,64.0,51.0,63.0,12.0,0.0,19.0,5.0,2022-10-21,0
TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393,115,123,184,18,354,180.0,E,Minor,72.0,61.0,63.0,67.0,0.0,9.0,28.0,2023-02-23,1
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413,22,33,34,7,184,120.0,Unknown,Major,81.0,63.0,68.0,11.0,0.0,11.0,4.0,2023-06-01,0
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502,19,108,24,9,212,150.0,F#,Major,61.0,39.0,73.0,37.0,0.0,11.0,3.0,2023-04-07,0
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075,154,123,410,2,81,96.0,F,Major,75.0,57.0,68.0,9.0,0.0,13.0,6.0,2014-01-01,0
Style,Taylor Swift,1,2014,1,1,7830,42,786181836,94,111,151,4,82,95.0,D,Major,60.0,48.0,79.0,0.0,0.0,12.0,4.0,2014-01-01,0
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476,16,159,15,6,100,125.0,F,Minor,79.0,96.0,85.0,27.0,0.0,11.0,6.0,2023-05-19,1
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408,10,107,6,3,62,144.0,A,Minor,56.0,84.0,65.0,23.0,0.0,10.0,6.0,2023-02-10,1
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550,372,117,843,4,69,90.0,D,Major,76.0,91.0,50.0,54.0,0.0,7.0,5.0,2018-10-09,0
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169,291,184,537,45,727,128.0,G,Minor,56.0,38.0,97.0,4.0,0.0,35.0,4.0,2022-08-26,1
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291,77,58,247,1,311,79.0,F#,Major,56.0,58.0,56.0,37.0,0.0,11.0,10.0,2017-07-21,0
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199,82,145,65,16,1133,144.0,Unknown,Major,77.0,75.0,58.0,52.0,0.0,23.0,25.0,2023-06-23,0
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054,65,48,138,1,102,122.0,F,Major,67.0,49.0,64.0,10.0,0.0,10.0,3.0,2020-11-27,0
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420,241,127,458,37,332,140.0,Unknown,Major,71.0,82.0,81.0,11.0,0.0,6.0,5.0,2022-05-13,0
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401,68,21,24,0,259,134.0,C#,Minor,59.0,51.0,52.0,9.0,0.0,15.0,7.0,2016-11-24,1
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693,281,137,2445,1,140,186.0,G,Major,68.0,49.0,59.0,16.0,0.0,13.0,28.0,2016-09-21,0
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108,87,86,74,1,16,67.0,C#,Minor,53.0,50.0,53.0,23.0,0.0,44.0,7.0,2023-02-24,1
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850,44,64,57,10,110,106.0,A#,Minor,72.0,17.0,64.0,7.0,0.0,10.0,5.0,2023-06-02,1
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666,145,111,213,11,810,128.0,G,Major,60.0,23.0,91.0,0.0,0.0,12.0,3.0,2023-04-06,0
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011,14,71,23,10,176,107.0,F#,Minor,92.0,55.0,70.0,18.0,0.0,15.0,7.0,2023-02-24,1
